[2026-05-07T14:55:11.885+08:00] setting includeBboxInPlanning to true { deepThink: undefined, noIndividualLocateModel: true }
[2026-05-07T15:00:13.660+08:00] setting includeBboxInPlanning to true { deepThink: undefined, noIndividualLocateModel: true }
[2026-05-07T16:08:32.340+08:00] setting includeBboxInPlanning to true { deepThink: undefined, noIndividualLocateModel: true }
[2026-05-07T16:09:09.491+08:00] setting includeBboxInPlanning to true { deepThink: undefined, noIndividualLocateModel: true }
[2026-05-07T16:10:28.363+08:00] setting includeBboxInPlanning to true { deepThink: undefined, noIndividualLocateModel: true }
[2026-05-07T16:11:05.180+08:00] setting includeBboxInPlanning to true { deepThink: undefined, noIndividualLocateModel: true }
[2026-05-07T16:11:55.508+08:00] setting includeBboxInPlanning to true { deepThink: undefined, noIndividualLocateModel: true }
[2026-05-07T16:15:11.358+08:00] setting includeBboxInPlanning to true { deepThink: undefined, noIndividualLocateModel: true }
[2026-05-07T16:16:20.632+08:00] setting includeBboxInPlanning to true { deepThink: undefined, noIndividualLocateModel: true }
[2026-05-07T16:18:02.818+08:00] setting includeBboxInPlanning to true { deepThink: undefined, noIndividualLocateModel: true }
[2026-05-07T16:20:41.892+08:00] setting includeBboxInPlanning to true { deepThink: undefined, noIndividualLocateModel: true }
[2026-05-07T16:22:16.361+08:00] setting includeBboxInPlanning to true { deepThink: undefined, noIndividualLocateModel: true }
[2026-05-07T16:23:52.408+08:00] setting includeBboxInPlanning to true { deepThink: undefined, noIndividualLocateModel: true }
[2026-05-07T16:25:35.706+08:00] setting includeBboxInPlanning to true { deepThink: undefined, noIndividualLocateModel: true }
[2026-05-07T16:26:14.422+08:00] setting includeBboxInPlanning to true { deepThink: undefined, noIndividualLocateModel: true }
[2026-05-07T16:27:03.749+08:00] setting includeBboxInPlanning to true { deepThink: undefined, noIndividualLocateModel: true }
[2026-05-07T16:27:42.345+08:00] setting includeBboxInPlanning to true { deepThink: undefined, noIndividualLocateModel: true }
[2026-05-07T16:28:19.242+08:00] setting includeBboxInPlanning to true { deepThink: undefined, noIndividualLocateModel: true }
[2026-05-07T16:32:58.194+08:00] setting includeBboxInPlanning to true { deepThink: undefined, noIndividualLocateModel: true }
[2026-05-07T16:33:40.181+08:00] setting includeBboxInPlanning to true { deepThink: undefined, noIndividualLocateModel: true }
[2026-05-07T16:34:12.915+08:00] setting includeBboxInPlanning to true { deepThink: undefined, noIndividualLocateModel: true }
[2026-05-07T16:35:14.877+08:00] setting includeBboxInPlanning to true { deepThink: undefined, noIndividualLocateModel: true }
[2026-05-07T16:38:24.105+08:00] setting includeBboxInPlanning to true { deepThink: undefined, noIndividualLocateModel: true }
[2026-05-07T16:41:26.917+08:00] setting includeBboxInPlanning to true { deepThink: undefined, noIndividualLocateModel: true }
[2026-05-07T16:43:46.910+08:00] setting includeBboxInPlanning to true { deepThink: undefined, noIndividualLocateModel: true }
[2026-05-07T16:44:53.263+08:00] setting includeBboxInPlanning to true { deepThink: undefined, noIndividualLocateModel: true }
[2026-05-07T16:46:50.328+08:00] setting includeBboxInPlanning to true { deepThink: undefined, noIndividualLocateModel: true }
[2026-05-07T16:47:29.246+08:00] setting includeBboxInPlanning to true { deepThink: undefined, noIndividualLocateModel: true }
[2026-05-07T16:48:11.512+08:00] setting includeBboxInPlanning to true { deepThink: undefined, noIndividualLocateModel: true }
[2026-05-07T16:48:54.099+08:00] setting includeBboxInPlanning to true { deepThink: undefined, noIndividualLocateModel: true }
[2026-05-07T16:51:48.882+08:00] setting includeBboxInPlanning to true { deepThink: undefined, noIndividualLocateModel: true }
[2026-05-07T16:55:53.578+08:00] setting includeBboxInPlanning to true { deepThink: undefined, noIndividualLocateModel: true }
[2026-05-07T16:56:04.452+08:00] setting includeBboxInPlanning to true { deepThink: undefined, noIndividualLocateModel: true }
[2026-05-07T16:56:41.659+08:00] setting includeBboxInPlanning to true { deepThink: undefined, noIndividualLocateModel: true }
[2026-05-07T16:57:55.658+08:00] setting includeBboxInPlanning to true { deepThink: undefined, noIndividualLocateModel: true }
[2026-05-07T17:03:22.394+08:00] setting includeBboxInPlanning to true { deepThink: undefined, noIndividualLocateModel: true }
[2026-05-07T17:05:14.557+08:00] setting includeBboxInPlanning to true { deepThink: undefined, noIndividualLocateModel: true }
[2026-05-07T17:09:37.466+08:00] setting includeBboxInPlanning to true { deepThink: undefined, noIndividualLocateModel: true }
[2026-05-07T17:11:31.207+08:00] setting includeBboxInPlanning to true { deepThink: undefined, noIndividualLocateModel: true }
[2026-05-07T17:12:12.971+08:00] setting includeBboxInPlanning to true { deepThink: undefined, noIndividualLocateModel: true }
[2026-05-07T17:12:43.577+08:00] setting includeBboxInPlanning to true { deepThink: undefined, noIndividualLocateModel: true }
[2026-05-07T17:27:06.211+08:00] setting includeBboxInPlanning to true { deepThink: undefined, noIndividualLocateModel: true }
[2026-05-07T17:27:34.963+08:00] setting includeBboxInPlanning to true { deepThink: undefined, noIndividualLocateModel: true }
[2026-05-07T17:28:01.422+08:00] setting includeBboxInPlanning to true { deepThink: undefined, noIndividualLocateModel: true }
[2026-05-07T17:30:02.215+08:00] setting includeBboxInPlanning to true { deepThink: undefined, noIndividualLocateModel: true }
[2026-05-07T17:30:30.686+08:00] setting includeBboxInPlanning to true { deepThink: undefined, noIndividualLocateModel: true }
[2026-05-07T17:31:18.803+08:00] setting includeBboxInPlanning to true { deepThink: undefined, noIndividualLocateModel: true }
[2026-05-07T17:32:08.274+08:00] setting includeBboxInPlanning to true { deepThink: undefined, noIndividualLocateModel: true }
[2026-05-07T17:57:44.417+08:00] setting includeBboxInPlanning to true { deepThink: undefined, noIndividualLocateModel: true }
[2026-05-07T17:58:35.759+08:00] setting includeBboxInPlanning to true { deepThink: undefined, noIndividualLocateModel: true }
[2026-05-07T17:59:11.030+08:00] setting includeBboxInPlanning to true { deepThink: undefined, noIndividualLocateModel: true }
[2026-05-07T17:59:48.891+08:00] setting includeBboxInPlanning to true { deepThink: undefined, noIndividualLocateModel: true }
[2026-05-07T18:00:19.233+08:00] setting includeBboxInPlanning to true { deepThink: undefined, noIndividualLocateModel: true }
[2026-05-08T11:12:00.690+08:00] setting includeBboxInPlanning to true { deepThink: undefined, noIndividualLocateModel: true }
[2026-05-08T11:12:44.849+08:00] setting includeBboxInPlanning to true { deepThink: undefined, noIndividualLocateModel: true }
[2026-05-08T11:13:21.784+08:00] setting includeBboxInPlanning to true { deepThink: undefined, noIndividualLocateModel: true }
[2026-05-08T11:13:55.190+08:00] setting includeBboxInPlanning to true { deepThink: undefined, noIndividualLocateModel: true }
