[2026-05-07T14:55:27.202+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 7812, completion-tokens, 350, total-tokens, 8162, cost-ms, 12917, requestId, 02177813691485440360720e551986eb8f548dd35d9b34e42c24c, temperature, 0
[2026-05-07T14:55:35.530+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8041, completion-tokens, 190, total-tokens, 8231, cost-ms, 7163, requestId, 02177813692859940360720e551986eb8f548dd35d9b34e98492d, temperature, 0
[2026-05-07T14:55:44.044+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8287, completion-tokens, 211, total-tokens, 8498, cost-ms, 6580, requestId, 02177813693769340360720e551986eb8f548dd35d9b34e217ebe, temperature, 0
[2026-05-07T14:55:51.539+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8541, completion-tokens, 74, total-tokens, 8615, cost-ms, 6121, requestId, 02177813694565040360720e551986eb8f548dd35d9b34e825d14, temperature, 0
[2026-05-07T14:56:02.904+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 2099, completion-tokens, 274, total-tokens, 2373, cost-ms, 11150, requestId, 02177813695198640360720e551986eb8f548dd35d9b34e1c8ff7, temperature, 0
[2026-05-07T14:56:23.773+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 2113, completion-tokens, 664, total-tokens, 2777, cost-ms, 20654, requestId, 02177813696335240360720e551986eb8f548dd35d9b34eee462a, temperature, 0
[2026-05-07T15:00:21.798+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 7812, completion-tokens, 235, total-tokens, 8047, cost-ms, 7563, requestId, 0217781372145733dba4463efaee3235a05765424283b9bd8627c, temperature, 0
[2026-05-07T15:00:27.390+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8013, completion-tokens, 117, total-tokens, 8130, cost-ms, 4786, requestId, 0217781372228353dba4463efaee3235a05765424283b9b270142, temperature, 0
[2026-05-07T15:00:36.223+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8190, completion-tokens, 193, total-tokens, 8383, cost-ms, 7032, requestId, 0217781372294213dba4463efaee3235a05765424283b9bac3297, temperature, 0
[2026-05-07T15:00:50.050+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8421, completion-tokens, 229, total-tokens, 8650, cost-ms, 8059, requestId, 0217781372422779a3c11ce9bc6e339bff18e6a11feba8bef73bd, temperature, 0
[2026-05-07T15:01:07.362+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8705, completion-tokens, 190, total-tokens, 8895, cost-ms, 9920, requestId, 021778137257719d72149264581351fe280677b9f79ce084e2045, temperature, 0
[2026-05-07T15:01:21.666+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 9018, completion-tokens, 151, total-tokens, 9169, cost-ms, 11975, requestId, 021778137269924d72149264581351fe280677b9f79ce08e95bf6, temperature, 0
[2026-05-07T15:01:42.776+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 9303, completion-tokens, 497, total-tokens, 9800, cost-ms, 17179, requestId, 021778137285829d72149264581351fe280677b9f79ce08d3250a, temperature, 0
[2026-05-07T15:01:56.765+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 9573, completion-tokens, 319, total-tokens, 9892, cost-ms, 13105, requestId, 021778137303891d72149264581351fe280677b9f79ce08be15ba, temperature, 0
[2026-05-07T15:02:03.278+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 10047, completion-tokens, 72, total-tokens, 10119, cost-ms, 5593, requestId, 021778137317917d72149264581351fe280677b9f79ce0883c9d2, temperature, 0
[2026-05-07T15:02:11.308+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 2099, completion-tokens, 198, total-tokens, 2297, cost-ms, 7818, requestId, 021778137323721d72149264581351fe280677b9f79ce08529062, temperature, 0
